Application,Runtime,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.940673,12.470,12.456,0.993,13.428,13.428
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.953272,12.599,12.450,0.849,13.279,13.279
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.965687,12.415,12.461,0.887,13.325,13.325
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.978068,12.381,12.464,0.972,13.407,13.407
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.990510,12.441,12.479,0.984,13.445,13.445
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.002984,12.475,12.482,0.991,13.452,13.452
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.015490,12.506,12.495,0.966,13.441,13.441
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.027956,12.466,12.279,0.994,13.254,13.254
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.040250,12.294,12.468,0.980,13.429,13.429
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.052711,12.461,12.507,0.988,13.474,13.474
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.065223,12.511,12.484,0.986,13.447,13.447
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.077712,12.489,12.511,0.977,13.468,13.468
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.090222,12.510,12.515,0.977,13.473,13.473
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.102721,12.499,12.477,0.995,13.451,13.451
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.115203,12.481,12.475,0.992,13.445,13.445
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.127661,12.458,12.507,1.006,13.493,13.493
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.140188,12.527,12.506,0.986,13.472,13.472
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.152685,12.497,12.540,0.996,13.516,13.516
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.165273,12.588,12.538,0.951,13.465,13.465
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.177909,12.636,12.535,0.858,13.365,13.365
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.190427,12.519,12.523,0.866,13.369,13.369
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.202940,12.513,12.524,0.879,13.380,13.380
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.215479,12.539,12.542,0.861,13.383,13.383
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.228011,12.531,12.170,0.871,13.021,13.021
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.240106,12.095,11.774,0.945,12.700,12.700
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,25.251886,11.780,11.741,0.939,12.661,12.661
